data_label	Geneset.Type	Geneset.ID	Description	P.value	FDR	Odds.Ratio	Status	n.Genes.in.Geneset	n.Genes.Returned	Genes.Returned
C	GO_BP	GO:0035810	positive regulation of urine volume	0.6807788405308679	0.8872196790663219	-0.3615026405746488	depleted	5	5	ENSRNOG00000010997, ENSRNOG00000001302, ENSRNOG00000004854, ENSRNOG00000016592, ENSRNOG00000056954
C	GO_BP	GO:0032688	negative regulation of interferon-beta production	0.6810647558123598	0.8872570668755724	0.33448092654059863	enriched	6	6	ENSRNOG00000030667, ENSRNOG00000004339, ENSRNOG00000019675, ENSRNOG00000033235, ENSRNOG00000047247, ENSRNOG00000054437
C	GO_BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	0.6818813517940514	0.8873527512498454	0.11450394427019282	enriched	59	59	ENSRNOG00000009419, ENSRNOG00000007032, ENSRNOG00000047186, ENSRNOG00000011700, ENSRNOG00000014371, ENSRNOG00000047455, ENSRNOG00000000383, ENSRNOG00000001525, ENSRNOG00000018778, ENSRNOG00000027954, ENSRNOG00000028627, ENSRNOG00000033087, ENSRNOG00000052405, ENSRNOG00000063070, ENSRNOG00000000606, ENSRNOG00000006403, ENSRNOG00000008970, ENSRNOG00000013324, ENSRNOG00000013503, ENSRNOG00000016398, ENSRNOG00000018730, ENSRNOG00000020058, ENSRNOG00000024711, ENSRNOG00000026087, ENSRNOG00000028335, ENSRNOG00000029614, ENSRNOG00000030954, ENSRNOG00000033217, ENSRNOG00000053332, ENSRNOG00000002176, ENSRNOG00000003365, ENSRNOG00000004483, ENSRNOG00000008054, ENSRNOG00000008414, ENSRNOG00000009033, ENSRNOG00000009772, ENSRNOG00000009949, ENSRNOG00000010107, ENSRNOG00000010535, ENSRNOG00000010771, ENSRNOG00000011585, ENSRNOG00000012512, ENSRNOG00000013481, ENSRNOG00000013535, ENSRNOG00000014556, ENSRNOG00000016384, ENSRNOG00000016526, ENSRNOG00000018557, ENSRNOG00000019265, ENSRNOG00000020119, ENSRNOG00000021285, ENSRNOG00000029598, ENSRNOG00000031643, ENSRNOG00000031974, ENSRNOG00000034031, ENSRNOG00000043085, ENSRNOG00000049289, ENSRNOG00000060410, ENSRNOG00000066008
C	GO_BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	0.682318568438832	0.8873527512498454	0.08103663551031128	enriched	109	109	ENSRNOG00000001982, ENSRNOG00000009425, ENSRNOG00000015603, ENSRNOG00000001720, ENSRNOG00000013679, ENSRNOG00000056836, ENSRNOG00000000321, ENSRNOG00000000596, ENSRNOG00000010744, ENSRNOG00000013717, ENSRNOG00000017438, ENSRNOG00000019598, ENSRNOG00000034177, ENSRNOG00000000604, ENSRNOG00000004089, ENSRNOG00000005906, ENSRNOG00000006094, ENSRNOG00000014248, ENSRNOG00000016818, ENSRNOG00000020339, ENSRNOG00000020388, ENSRNOG00000028198, ENSRNOG00000031312, ENSRNOG00000063373, ENSRNOG00000001769, ENSRNOG00000002227, ENSRNOG00000002568, ENSRNOG00000003439, ENSRNOG00000004438, ENSRNOG00000005033, ENSRNOG00000007468, ENSRNOG00000008180, ENSRNOG00000009468, ENSRNOG00000009495, ENSRNOG00000010278, ENSRNOG00000010574, ENSRNOG00000010889, ENSRNOG00000012160, ENSRNOG00000012471, ENSRNOG00000014124, ENSRNOG00000014548, ENSRNOG00000017197, ENSRNOG00000018953, ENSRNOG00000020182, ENSRNOG00000022419, ENSRNOG00000028504, ENSRNOG00000034025, ENSRNOG00000038881, ENSRNOG00000045797, ENSRNOG00000048449, ENSRNOG00000056376, ENSRNOG00000062101, ENSRNOG00000000655, ENSRNOG00000002014, ENSRNOG00000004014, ENSRNOG00000004332, ENSRNOG00000004517, ENSRNOG00000005008, ENSRNOG00000005386, ENSRNOG00000006589, ENSRNOG00000006604, ENSRNOG00000006997, ENSRNOG00000007002, ENSRNOG00000007027, ENSRNOG00000007030, ENSRNOG00000007584, ENSRNOG00000007948, ENSRNOG00000009110, ENSRNOG00000009389, ENSRNOG00000009522, ENSRNOG00000009615, ENSRNOG00000010756, ENSRNOG00000010906, ENSRNOG00000011341, ENSRNOG00000011475, ENSRNOG00000012259, ENSRNOG00000013064, ENSRNOG00000013213, ENSRNOG00000013286, ENSRNOG00000014235, ENSRNOG00000015654, ENSRNOG00000016013, ENSRNOG00000017155, ENSRNOG00000017453, ENSRNOG00000018233, ENSRNOG00000018488, ENSRNOG00000019716, ENSRNOG00000020369, ENSRNOG00000020441, ENSRNOG00000020573, ENSRNOG00000021057, ENSRNOG00000021259, ENSRNOG00000023463, ENSRNOG00000027728, ENSRNOG00000027839, ENSRNOG00000027860, ENSRNOG00000030017, ENSRNOG00000037227, ENSRNOG00000047356, ENSRNOG00000047545, ENSRNOG00000053979, ENSRNOG00000054764, ENSRNOG00000055093, ENSRNOG00000057451, ENSRNOG00000058856, ENSRNOG00000059968, ENSRNOG00000065432, ENSRNOG00000066008, ENSRNOG00000068183
C	GO_BP	GO:0007028	cytoplasm organization	0.6814905661684678	0.8873527512498454	-0.3249822460924486	depleted	6	6	ENSRNOG00000010488, ENSRNOG00000005984, ENSRNOG00000007106, ENSRNOG00000003326, ENSRNOG00000017466, ENSRNOG00000055779
C	GO_BP	GO:0060766	negative regulation of androgen receptor signaling pathway	0.6818126867081533	0.8873527512498454	-0.32549937465677337	depleted	6	6	ENSRNOG00000009184, ENSRNOG00000001004, ENSRNOG00000016700, ENSRNOG00000020161, ENSRNOG00000009568, ENSRNOG00000015318
C	GO_BP	GO:0051702	biological process involved in interaction with symbiont	0.6819573732885311	0.8873527512498454	-0.13910951765712232	depleted	30	30	ENSRNOG00000026293, ENSRNOG00000055547, ENSRNOG00000014997, ENSRNOG00000057713, ENSRNOG00000061474, ENSRNOG00000011637, ENSRNOG00000014434, ENSRNOG00000018003, ENSRNOG00000030981, ENSRNOG00000039241, ENSRNOG00000042460, ENSRNOG00000043053, ENSRNOG00000002843, ENSRNOG00000005227, ENSRNOG00000009568, ENSRNOG00000010906, ENSRNOG00000011414, ENSRNOG00000014288, ENSRNOG00000016781, ENSRNOG00000017223, ENSRNOG00000018454, ENSRNOG00000018630, ENSRNOG00000019147, ENSRNOG00000020660, ENSRNOG00000022586, ENSRNOG00000023410, ENSRNOG00000027099, ENSRNOG00000034066, ENSRNOG00000056954, ENSRNOG00000059968
C	GO_BP	GO:0060221	retinal rod cell differentiation	0.6820969793159701	0.8873527512498454	-0.3903504177228377	depleted	4	4	ENSRNOG00000013413, ENSRNOG00000002607, ENSRNOG00000011829, ENSRNOG00000018528
C	GO_BP	GO:0002685	regulation of leukocyte migration	0.6823635873686915	0.8873527512498454	-0.09194038529895489	depleted	75	75	ENSRNOG00000006995, ENSRNOG00000012681, ENSRNOG00000010748, ENSRNOG00000019598, ENSRNOG00000024808, ENSRNOG00000004861, ENSRNOG00000009390, ENSRNOG00000021294, ENSRNOG00000000895, ENSRNOG00000001300, ENSRNOG00000001304, ENSRNOG00000001383, ENSRNOG00000001414, ENSRNOG00000002964, ENSRNOG00000004217, ENSRNOG00000004810, ENSRNOG00000007062, ENSRNOG00000008180, ENSRNOG00000009468, ENSRNOG00000009910, ENSRNOG00000010265, ENSRNOG00000010278, ENSRNOG00000012471, ENSRNOG00000014124, ENSRNOG00000016326, ENSRNOG00000017332, ENSRNOG00000018003, ENSRNOG00000020465, ENSRNOG00000021166, ENSRNOG00000045920, ENSRNOG00000049402, ENSRNOG00000001434, ENSRNOG00000001849, ENSRNOG00000001868, ENSRNOG00000001964, ENSRNOG00000002014, ENSRNOG00000002141, ENSRNOG00000002540, ENSRNOG00000004488, ENSRNOG00000005386, ENSRNOG00000005650, ENSRNOG00000005747, ENSRNOG00000006589, ENSRNOG00000006604, ENSRNOG00000006975, ENSRNOG00000006997, ENSRNOG00000007089, ENSRNOG00000007350, ENSRNOG00000008246, ENSRNOG00000009149, ENSRNOG00000009157, ENSRNOG00000009412, ENSRNOG00000009850, ENSRNOG00000010645, ENSRNOG00000010665, ENSRNOG00000010906, ENSRNOG00000013589, ENSRNOG00000014481, ENSRNOG00000014624, ENSRNOG00000018233, ENSRNOG00000018804, ENSRNOG00000019675, ENSRNOG00000020393, ENSRNOG00000022256, ENSRNOG00000025792, ENSRNOG00000027839, ENSRNOG00000028629, ENSRNOG00000030763, ENSRNOG00000037814, ENSRNOG00000047035, ENSRNOG00000047734, ENSRNOG00000050519, ENSRNOG00000050792, ENSRNOG00000059073, ENSRNOG00000059640
C	GO_BP	GO:0010669	epithelial structure maintenance	0.6827079041575146	0.8875728048664892	0.23626250185827155	enriched	12	12	ENSRNOG00000002607, ENSRNOG00000001557, ENSRNOG00000003205, ENSRNOG00000014124, ENSRNOG00000018232, ENSRNOG00000002139, ENSRNOG00000007134, ENSRNOG00000008334, ENSRNOG00000008432, ENSRNOG00000010522, ENSRNOG00000012467, ENSRNOG00000029949
